,"-, clemscore","all, Average % Played","all, Average Quality Score","escape_room, % Played","escape_room, Quality Score","escape_room, Quality Score (std)"
InternVL3-14B-t0.0--InternVL3-14B-t0.0,23.37,100.0,23.37,100.0,23.37,44.03
InternVL3-1B-t0.0--InternVL3-1B-t0.0,0.0,93.33,0.0,93.33,0.0,0.0
InternVL3-2B-t0.0--InternVL3-2B-t0.0,2.54,94.0,2.7,94.0,2.7,18.44
InternVL3-38B-t0.0--InternVL3-38B-t0.0,30.95,100.0,30.95,100.0,30.95,46.32
InternVL3-78B-t0.0--InternVL3-78B-t0.0,12.67,100.0,12.67,100.0,12.67,32.18
InternVL3-8B-t0.0--InternVL3-8B-t0.0,1.11,71.33,1.56,71.33,1.56,11.57
KimiVL-A3B-Thinking-t0.0--KimiVL-A3B-Thinking-t0.0,29.08,80.81,35.99,80.81,35.99,49.95
gpt-4.1-mini-t0.0--gpt-4.1-mini-t0.0,47.22,100.0,47.22,100.0,47.22,47.04
gpt-4.1-t0.0--gpt-4.1-t0.0,82.8,100.0,82.8,100.0,82.8,40.95
o4-mini-t0.0--o4-mini-t0.0,54.87,100.0,54.87,100.0,54.87,43.3
thethinker-t0.0--thethinker-t0.0,26.35,37.25,70.74,37.25,70.74,44.91
