,"-, clemscore","all, Average % Played","all, Average Quality Score","escape_room, % Played","escape_room, Quality Score","escape_room, Quality Score (std)"
GLM-4.1V-9B-Thinking-t0.0--GLM-4.1V-9B-Thinking-t0.0,35.47,45.07,78.7,45.07,78.7,40.32
InternVL3-14B-t0.0--InternVL3-14B-t0.0,15.25,57.33,26.6,57.33,26.6,42.68
InternVL3-38B-t0.0--InternVL3-38B-t0.0,23.22,24.67,94.12,24.67,94.12,13.3
InternVL3-78B-t0.0--InternVL3-78B-t0.0,7.89,12.0,65.74,12.0,65.74,44.45
InternVL3-8B-t0.0--InternVL3-8B-t0.0,0.0,4.0,0.0,4.0,0.0,0.0
claude-sonnet-4-t0.0--claude-sonnet-4-t0.0,82.27,89.33,92.1,89.33,92.1,24.38
gpt-4.1-mini-t0.0--gpt-4.1-mini-t0.0,33.96,96.0,35.38,96.0,35.38,45.12
gpt-4.1-t0.0--gpt-4.1-t0.0,85.73,90.0,95.26,90.0,95.26,18.99
llama-4-maverick-t0.0--llama-4-maverick-t0.0,16.85,46.67,36.11,46.67,36.11,43.55
mistral-small-3.1-24b-instruct-t0.0--mistral-small-3.1-24b-instruct-t0.0,18.2,84.67,21.49,84.67,21.49,38.77
mock-t0.0--mock-t0.0,1.33,34.67,3.85,34.67,3.85,19.42
o3-t0.0--o3-t0.0,96.09,98.67,97.39,98.67,97.39,9.37
o4-mini-t0.0--o4-mini-t0.0,64.04,74.67,85.76,74.67,85.76,28.08
