model,% Played,Quality score,% Played,Quality score,% Played,Quality score,% Played,Quality score,% Played,Quality score,% Played,Quality score,% Played,Quality score,% Played,Quality score,% Played,Quality score,% Played,Quality score,% Played,Quality score,% Played,Quality score,% Played,Quality score,% Played,Quality score,% Played,Quality score,% Played,Quality score,% Played,Quality score,% Played,Quality score,% Played,Quality score
,0_small,0_small,1_medium,1_medium,2_large,2_large,3_no_ambiguity,3_no_ambiguity,4_medium_ambiguity,4_medium_ambiguity,5_high_ambiguity,5_high_ambiguity,6_low_dual_ambiguity,6_low_dual_ambiguity,7_medium_dual_ambiguity,7_medium_dual_ambiguity,8_high_dual_ambiguity,8_high_dual_ambiguity,9_path,9_path,10_ladder,10_ladder,12_tree,12_tree,13_adjacent,13_adjacent,14_near,14_near,15_far,15_far,Set1,Set1,Set2,Set2,Set3,Set3,Set4,Set4
GLM-4.1V-9B-Thinking-t0.0--GLM-4.1V-9B-Thinking-t0.0,80.0,83.33333333333333,40.0,100.0,50.0,100.0,50.0,100.0,50.0,40.0,50.0,60.0,19.999999999999996,89.52380952380952,33.333333333333336,100.0,66.66666666666667,33.333333333333336,12.5,100.0,37.5,100.0,19.999999999999996,100.0,80.0,100.0,19.999999999999996,50.0,62.5,58.18181818181817,56.666666666666664,94.44444444444444,45.0,70.47619047619047,23.333333333333332,100.0,54.166666666666664,69.39393939393939
InternVL3-14B-t0.0--InternVL3-14B-t0.0,80.0,62.5,90.0,6.34920634920635,40.0,17.64705882352941,40.0,36.53846153846154,30.000000000000004,0.0,70.0,0.0,19.999999999999996,0.0,60.0,33.333333333333336,70.0,9.523809523809524,60.0,11.111111111111112,80.0,25.0,40.0,75.0,90.0,75.55555555555556,70.0,0.0,40.0,0.0,70.0,28.83208839091192,48.333333333333336,13.232600732600732,60.0,37.03703703703704,66.66666666666667,25.185185185185187
InternVL3-38B-t0.0--InternVL3-38B-t0.0,80.0,95.83333333333333,19.999999999999996,100.0,0.0,,30.000000000000004,88.8888888888889,30.000000000000004,100.0,50.0,86.66666666666667,19.999999999999996,83.33333333333334,9.999999999999998,100.0,9.999999999999998,100.0,40.0,100.0,19.999999999999996,100.0,19.999999999999996,74.64114832535886,30.000000000000004,100.0,9.999999999999998,100.0,0.0,,33.333333333333336,97.91666666666666,25.0,93.14814814814815,26.666666666666668,91.54704944178629,13.333333333333334,100.0
InternVL3-78B-t0.0--InternVL3-78B-t0.0,19.999999999999996,50.0,0.0,,0.0,,19.999999999999996,83.33333333333334,19.999999999999996,0.0,19.999999999999996,83.33333333333334,0.0,,9.999999999999998,0.0,9.999999999999998,0.0,9.999999999999998,100.0,0.0,,30.000000000000004,100.0,40.0,87.5,0.0,,0.0,,6.666666666666665,50.0,13.33333333333333,33.333333333333336,13.333333333333334,100.0,13.333333333333334,87.5
InternVL3-8B-t0.0--InternVL3-8B-t0.0,9.999999999999998,0.0,0.0,,9.999999999999998,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,19.999999999999996,0.0,9.999999999999998,0.0,9.999999999999998,0.0,0.0,,0.0,,0.0,,6.666666666666665,0.0,0.0,,13.33333333333333,0.0,0.0,
claude-sonnet-4-t0.0--claude-sonnet-4-t0.0,100.0,90.0,90.0,88.88888888888889,90.0,87.65432098765433,100.0,94.84848484848484,100.0,80.0,80.0,86.36363636363636,100.0,97.97979797979798,70.0,100.0,90.0,81.48148148148148,80.0,97.13622291021672,90.0,98.67446393762184,90.0,87.39569609134827,90.0,100.0,90.0,97.10144927536231,80.0,96.84210526315789,93.33333333333333,88.8477366255144,90.0,90.11223344556679,86.66666666666667,94.40212764639561,86.66666666666667,97.98118484617339
gpt-4.1-mini-t0.0--gpt-4.1-mini-t0.0,100.0,46.66666666666667,100.0,44.0,100.0,18.0,100.0,52.42424242424242,80.0,37.5,100.0,38.88888888888889,100.0,38.57142857142857,100.0,45.23809523809524,100.0,29.090909090909086,80.0,25.0,100.0,24.035087719298247,100.0,41.4733893557423,90.0,70.8641975308642,90.0,11.11111111111111,100.0,7.36842105263158,100.0,36.22222222222222,96.66666666666667,40.28559403559404,93.33333333333333,30.169492358346847,93.33333333333333,29.78124323153563
gpt-4.1-t0.0--gpt-4.1-t0.0,100.0,100.0,100.0,100.0,90.0,87.87878787878788,100.0,100.0,90.0,98.76543209876543,100.0,87.97979797979798,100.0,98.88888888888889,100.0,87.97979797979798,80.0,86.11111111111111,100.0,99.0909090909091,70.0,85.71428571428571,50.0,99.1304347826087,100.0,96.21153846153845,80.0,99.26470588235294,90.0,100.0,96.66666666666667,95.95959595959596,95.0,93.28750467639357,73.33333333333333,94.64520986260116,90.0,98.4920814479638
llama-4-maverick-t0.0--llama-4-maverick-t0.0,90.0,40.74074074074074,40.0,50.0,9.999999999999998,100.0,19.999999999999996,83.33333333333334,70.0,42.857142857142854,50.0,37.77777777777778,40.0,55.147058823529406,50.0,0.0,80.0,0.0,50.0,66.47619047619048,50.0,46.0,30.000000000000004,31.111111111111104,60.0,54.806763285024154,9.999999999999998,0.0,50.0,0.0,46.666666666666664,63.58024691358025,51.666666666666664,36.51921879863056,43.333333333333336,47.86243386243387,40.0,18.26892109500805
